,countyFIPS,CountyName,State,Deaths,Population,DeathsPerMillion
785,18145,Shelby County,IN,24,44729,536
786,18147,Spencer County,IN,1,20277,49
787,18149,Starke County,IN,3,22995,130
788,18151,Steuben County,IN,2,34594,57
789,18153,Sullivan County,IN,1,20669,48
790,18155,Switzerland County,IN,0,10751,0
791,18157,Tippecanoe County,IN,7,195732,35
792,18159,Tipton County,IN,1,15148,66
793,18161,Union County,IN,0,7054,0
794,18163,Vanderburgh County,IN,6,181451,33
795,18165,Vermillion County,IN,0,15498,0
796,18167,Vigo County,IN,8,107038,74
797,18169,Wabash County,IN,2,30996,64
798,18171,Warren County,IN,1,8265,120
799,18173,Warrick County,IN,29,62998,460
800,18175,Washington County,IN,1,28036,35
801,18177,Wayne County,IN,6,65884,91
802,18179,Wells County,IN,0,28296,0
803,18181,White County,IN,10,24102,414
804,18183,Whitley County,IN,4,33964,117
806,19001,Adair County,IA,0,7152,0
807,19003,Adams County,IA,0,3602,0
808,19005,Allamakee County,IA,4,13687,292
809,19007,Appanoose County,IA,3,12426,241
810,19009,Audubon County,IA,1,5496,181
811,19011,Benton County,IA,1,25645,38
812,19013,Black Hawk County,IA,56,131228,426
813,19015,Boone County,IA,1,26234,38
814,19017,Bremer County,IA,6,25062,239
815,19019,Buchanan County,IA,1,21175,47
816,19021,Buena Vista County,IA,10,19620,509
817,19023,Butler County,IA,2,14439,138
818,19025,Calhoun County,IA,0,9668,0
819,19027,Carroll County,IA,1,20165,49
820,19029,Cass County,IA,0,12836,0
821,19031,Cedar County,IA,1,18627,53
822,19033,Cerro Gordo County,IA,1,42450,23
823,19035,Cherokee County,IA,0,11235,0
824,19037,Chickasaw County,IA,0,11933,0
825,19039,Clarke County,IA,2,9395,212
826,19041,Clay County,IA,0,16016,0
827,19043,Clayton County,IA,3,17549,170
828,19045,Clinton County,IA,1,46429,21
829,19047,Crawford County,IA,2,16820,118
830,19049,Dallas County,IA,28,93453,299
831,19051,Davis County,IA,1,9000,111
832,19053,Decatur County,IA,0,7870,0
833,19055,Delaware County,IA,1,17011,58
834,19057,Des Moines County,IA,2,38967,51
835,19059,Dickinson County,IA,1,17258,57
836,19061,Dubuque County,IA,22,97311,226
837,19063,Emmet County,IA,0,9208,0
838,19065,Fayette County,IA,0,19650,0
839,19067,Floyd County,IA,1,15642,63
840,19069,Franklin County,IA,0,10070,0
841,19071,Fremont County,IA,0,6960,0
